Age,Weight,Height
0,5.0,60
2 , 12.5, 86.8
3 , 14.0, 95.2
4 , 16.3, 102.3
5 , 18.4, 109.2
6 , 20.6, 115.5
7 , 22.9, 121.9
8 , 25.6, 128
9 , 28.6, 133.3
10 , 32, 138.4
11 , 35.6, 143.5
12 , 39.9, 149.1
13 ,  45.3, 156.2
14 ,  50.8, 163.8
15 ,  56.0, 170.1
16 ,  60.8, 173.4
17 ,  64.4, 175.2
18 ,  66.9, 175.7
19 ,  68.9, 176.5
20 ,  70.3, 177
